id,nom_du_projet,date_concert,heure_1er_set,heure_2e_set,date_heure,formation,lineup,type_contrat,nb_cachet_clean
excel_2023_JUIN_2023_9,Emmanuel Sunee,2023-06-06,20:00,,,,,Cachets,5
excel_2024_JANVIER_18,Tom Peyron Group,2024-01-15,19:30,21:30,2024-01-15 - 19:30 - 21:30,,,Cachets,4
excel_2024_JANVIER_26,Spéciale ‘King Canyon’,2024-01-23,19:30,21:30,2024-01-23 - 19:30 - 21:30,,,Cachets,4
excel_2024_FEVRIER_9,Emmanuel Sunee invite Ludwig Nestor,2024-02-06,19:30,21:30,2024-02-06 - 19:30 - 21:30,,,Cachets,3
excel_2024_MARS_4,Neon,2024-03-01,19:30,21:30,2024-03-01 - 19:30 - 21:30,,,Cachets,5
excel_2024_MARS_5,Neon,2024-03-02,19:30,21:30,2024-03-02 - 19:30 - 21:30,,,Cachets,5
excel_2024_MARS_8,Emmanuel Sunee invite Electric Blue Cats,2024-03-05,19:30,21:30,2024-03-05 - 19:30 - 21:30,,,Cachets,3
excel_2024_AVRIL_5,Herbie Hancock Tribute,2024-04-02,19:30,21:30,2024-04-02 - 19:30 - 21:30,,,Cachets,4
excel_2024_AVRIL_11,Pierre do Sameiro,2024-04-08,19:30,21:30,2024-04-08 - 19:30 - 21:30,,,Cachets,4
excel_2024_MAI_10,Emmanuel Sunee,2024-05-07,19:30,21:30,2024-05-07 - 19:30 - 21:30,,,Cachets,4
excel_2024_MAI_27,Lucy Wijnands,2024-05-24,19:30,21:30,2024-05-24 - 19:30 - 21:30,,,Cachets,4
excel_2024_NOVEMBRE_23,Petter Wettre,2024-11-20,19:30,21:30,2024-11-20 - 19:30 - 21:30,,,Cachets,4
excel_2024_NOVEMBRE_28,Naama,2024-11-25,19:30,21:30,2024-11-25 - 19:30 - 21:30,,,Cachets,4
excel_2024_DECEMBRE_8,Ellen Birath,2024-12-05,19:30,21:30,2024-12-05 - 19:30 - 21:30,,,Cachets,3
